razão_social,cnpj,público_alvo,mandato,segmento,tipo_de_fundo,prazo_de_duração,tipo_de_gestão,taxa_de_administração,vacância,numero_de_cotistas,cotas_emitidas,val_patrimonial_p_cota,valor_patrimonial,último_rendimento,valor_patrimonial_unidade,papel
FUNDO DE INVESTIMENTO IMOBILIÁRIO - TORRE NORTE,04.722.883/0001-02,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,1.50,28.40,520,3935551,178.83,703.81,0.07,Milhões,TRNT11
FUNDO DE INVESTIMENTO IMOBILIÁRIO DEVELOPMENT V1,40.102.445/0001-05,Investidor Qualificado,Híbridos,Híbrido,Fundo de papel,Indeterminado,Ativa,,0.00,96,66800,1093.43,73.05, 0.00,Milhões,LKDV11
FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OUROINVEST,06.175.262/0001-73,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,0.30,28.27,484,235989,210.58,49.70,0.95,Milhões,EDFO11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - NOVO HORIZONTE,17.025.970/0001-44,Investidor Qualificado,Desenvolvimento para renda,Hospitalar,Fundo de Tijolo,Indeterminado,Ativa,0.10,0.00,1791,41494522,16.63,690.08,0.09,Milhões,NVHO11
FUNDO DE INVESTIMENTO IMOBILIARIO GREEN TOWERS,23.740.527/0001-58,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,0.25,0.00,34848,11999989,99.76,1.20,0.90,Bilhão,GTWR11
HBC RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.501.159/0001-37,Geral,Desenvolvimento para renda,Lajes Corporativas,Fundo misto,Indeterminado,Ativa,0.18,0.00,30,1599989,118.58,189.73,0.74,Milhões,HBCR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO HOSPITAL UNIMED CAMPINA GRANDE,39.347.413/0001-82,Geral,Desenvolvimento para renda,Hospitalar,Fundo de Tijolo,Indeterminado,Passiva,,0.00,227,1121989,103.65,116.30,0.70,Milhões,HUCG11
FUNDO DE INVESTIMENTO IMOBILIÁRIO HOSPITAL UNIMED SUL CAPIXABA,28.851.767/0001-43,Geral,Desenvolvimento para renda,Hospitalar,Fundo de Tijolo,Indeterminado,Passiva,0.35,0.00,146,850810,149.72,127.38,1.08,Milhões,HUSC11
FUNDO DE INVESTIMENTO IMOBILIÁRIO HOUSI,34.081.631/0001-02,Geral,Híbridos,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,0.30,9.60,1126,573439,107.73,61.78,0.70,Milhões,HOSI11
FUNDO DE INVESTIMENTO IMOBILIARIO INDUSTRIAL DO BRASIL,14.217.108/0001-45,Geral,Híbridos,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Passiva,3,1.05,15029,684989,476.96,326.72,3.58,Milhões,FIIB11
FUNDO DE INVESTIMENTO IMOBILIÁRIO IRIDIUM RECEBÍVEIS IMOBILIÁRIOS,28.830.325/0001-10,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,0.17,0.00,265555,37642388,78.96,2.97,0.76,Bilhões,IRDM11
FUNDO DE INVESTIMENTO IMOBILIÁRIO MAUÁ CAPITAL RECEBÍVEIS IMOBILIÁRIOS,23.648.935/0001-84,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,0.20,0.00,111018,16960013,93.16,1.58,1.00,Bilhão,MCCI11
FUNDO DE INVESTIMENTO IMOBILIÁRIO OURINVEST LOGÍSTICA,13.974.819/0001-00,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,1.00,0.00,3315,2481272,48.93,121.41,0.02,Milhões,OULG11
FUNDO DE INVESTIMENTO IMOBILIÁRIO POLO SHOPPING INDAIATUBA,14.721.889/0001-00,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,0.15,0.00,118,8071886,30.73,248.01,0.21,Milhões,VPSI11
FUNDO DE INV IMOB RBR CRÉD PULVERIZADO RESP LTDA,53.018.363/0001-10,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,0.00,982,12000229,10.01,120.13,0.10,Milhões,PULV11
FUNDO DE INVESTIMENTO IMOBILIÁRIO RBR PRIVATE CRÉDITO IMOBILIÁRIO,30.166.700/0001-11,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,0.20,0.00,64045,12769501,99.48,1.27,1.25,Bilhão,RBRY11
FUNDO DE INVESTIMENTO IMOBILIÁRIO PEDRA NEGRA RENDA IMOBILIÁRIA,17.161.979/0001-82,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,2,2.10,148,3043436,210.01,639.15,4.83,Milhões,FPNG11
FUNDO DE INVESTIMENTO IMOBILIÁRIO RBR PROPERTIES,21.408.063/0001-51,Geral,Renda,Outros,Fundo de Tijolo,Indeterminado,Ativa,0.12,6.63,60556,12179175,76.90,936.58,0.40,Milhões,RBRP11
FUNDO DE INVESTIMENTO IMOBILIÁRIO REC LOGÍSTICA,37.112.770/0001-36,Geral,Híbridos,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,0.175,3.00,4106,1334551,85.54,114.16,0.80,Milhões,RELG11
FUNDO DE INVESTIMENTO IMOBILIÁRIO RIZA TERRAX,36.501.128/0001-86,Geral,Renda,Híbrido,Outro,Indeterminado,Ativa,1.25,0.00,146466,18851709,96.87,1.83,1.00,Bilhão,RZTR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO ROOFTOP I,38.456.598/0001-09,Investidor Qualificado,Desenvolvimento para venda,Outros,Fundo de desenvolvimento,Determinado,Ativa,0.30,0.00,76,77484,375.68,29.11,41.72,Milhões,ROOF11
FUNDO DE INVESTIMENTO IMOBILIÁRIO SC 401,12.804.013/0001-00,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,3.6,9.42,223,1699985,113.46,192.88,0.60,Milhões,FISC11
FUNDO DE INVESTIMENTO IMOBILIÁRIO SMART REAL ESTATE – FII RESPONSABILIDADE LIMITADA,53.730.029/0001-95,Investidor Qualificado,Híbridos,Outros,Outro,Indeterminado,Ativa,0.22,0.00,1356,1044659,100.79,105.29,1.04,Milhões,SMRE11
FUNDO DE INVESTIMENTO IMOBILIARIO TG ATIVO REAL,25.032.881/0001-53,Geral,Híbridos,Híbrido,Fundo de desenvolvimento,Indeterminado,Ativa,1.50,0.00,152617,23567957,108.84,2.57,1.00,Bilhões,TGAR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO VBI LOGÍSTICO,30.629.603/0001-18,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,1.30,1.70,128381,16118554,117.67,1.90,0.75,Bilhão,LVBI11
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIDA NOVA,17.854.016/0001-64,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,,56.00,4476,9412619,5.87,55.25, 0.00,Milhões,FIVN11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - VBI PRIME PROPERTIES,35.652.102/0001-76,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,1.0,16.80,162351,27130056,107.78,2.92,0.45,Bilhões,PVBI11
FUNDO DE INVESTIMENTO IMOBILIÁRIO BARIGUI RENDIMENTOS IMOBILIÁRIOS I,29.267.567/0001-00,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,1.305,0.00,31760,4634180,78.48,363.70,0.76,Milhões,BARI11
FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM LOGÍSTICA,27.368.600/0001-63,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,0.95,0.00,5655,2114989,103.74,219.42,1.03,Milhões,VTLT11
FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM SHOPPING,23.740.595/0001-17,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,0.75,5.70,3040,2098789,115.67,242.77,0.70,Milhões,VSHO11
FUNDO DE INVESTIMENTO IMOBILIÁRIO TOURMALET V - ED. CIDADE NOVA,34.197.700/0001-30,Investidor Qualificado,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,0.25,0.00,103,852372,64.65,55.11, 0.00,Milhões,TCIN11
Galapagos Desenvolvimento Logistico Fundo de Investimento Imobiliario Responsabilidade Limitada,56.061.587/0001-01,Geral,Renda,Logístico / Indústria / Galpões,Outro,Determinado,Ativa,,0.00,1977,369900,111.42,41.21, 0.00,Milhões,GCDL11
GALAPAGOS RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,38.293.897/0001-61,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,1.00,0.00,4283,1453848,91.73,133.36,0.80,Milhões,GCRI11
GAZIT MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO,15.447.108/0001-02,Investidor Qualificado,Híbridos,Híbrido,Fundo misto,Indeterminado,Ativa,0.75,4.70,7135,21841220,90.52,1.98,0.78,Bilhão,GZIT11
GENERAL SHOPPING ATIVO E RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,17.590.518/0001-25,Geral,Desenvolvimento para venda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,0.20,7.20,11801,2849989,76.15,217.03,0.48,Milhões,FIGS11
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,01.201.140/0001-90,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,0.1,2.40,14489,4709071,107.01,503.94,0.65,Milhões,ABCP11
FUNDO DE INVESTIMENTO IMOBILIÁRIO GUARDIAN MULTIESTRATÉGIA I,41.269.052/0001-45,Geral,Títulos e valores mobiliários,Outros,Fundo de papel,Indeterminado,Ativa,1.10,0.00,21529,21697666,9.35,202.77,0.10,Milhões,GAME11
VX XVI - FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.982.974/0001-89,Investidor Qualificado,Renda,Outros,Fundo de desenvolvimento,Indeterminado,Ativa,0.35,0.00,19,477864,619.20,295.90,93.02,Milhões,VXXV11
GENERAL SHOP E OUTLETS DO BRASIL FUNDO DE INVESTIMENTO IMOBILIÁRIO,11.769.604/0001-13,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,1.05,10.40,6258,96106655,13.23,1.27, 0.00,Bilhão,GSFI11
GGR COVEPI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,26.614.291/0001-00,Geral,Híbridos,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,1.10,4.92,196649,171535103,10.98,1.88,0.10,Bilhão,GGRC11
PLURAL LOGÍSTICA FDO. INV. IMOB.,36.501.198/0001-34,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,0.7,0.00,1858,749989,108.76,81.57,0.41,Milhões,GLOG11
FUND. DE INVEST. IMOBILIÁRIO GUARDIAN REAL ESTATE,37.295.919/0001-60,Geral,Híbridos,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,0.94,0.00,407425,223419945,9.23,2.06,0.08,Bilhões,GARE11
HABITAT II - FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.578.417/0001-05,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,0.20,0.00,59569,8126772,94.49,767.92,0.95,Milhões,HABT11
HEDGE AAA FUNDO DE INVESTIMENTO IMOBILIÁRIO,27.445.482/0001-40,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,0.60,17.00,215,3454989,66.50,229.77,0.08,Milhões,HAAA11
HECTARE RECEBÍVEIS HIGH GRADE FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.508.959/0001-54,Geral,Títulos e valores mobiliários,Outros,Fundo de papel,Indeterminado,Ativa,0.20,0.00,579,1199989,93.68,112.42,0.61,Milhões,HCHG11
HECTARE CE - FUNDOS INVESTIMENTO IMOBILIÁRIOS,30.248.180/0001-96,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,0.21,0.00,136018,22084191,103.65,2.29,0.29,Bilhões,HCTR11
HEDGE ATRIUM SHOPPING SANTO ANDRÉ FUNDO DE INVESTIMENTO IMOBILIÁRIO,12.809.972/0001-00,Geral,Desenvolvimento para renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,0.50,18.90,293,1751130,76.76,134.41,0.15,Milhões,ATSA11
HEDGE BRASIL LOGÍSTICO IND FUND INV IMOB RESP LIM,53.466.467/0001-98,Investidor Qualificado,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,,0.00,4578,25135494,9.55,240.01,0.07,Milhões,HGBL11
HEDGE DESENVOLVIMENTO LOGÍSTICO FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.688.460/0001-39,Investidor Qualificado,Desenvolvimento para venda,Lajes Corporativas,Fundo de desenvolvimento,Determinado,Ativa,0.85,0.00,113,3369989,95.33,321.26, 0.00,Milhões,HDOF11
HEDGE RECEBÍVEIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.507.262/0001-21,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,0.70,0.00,2518,51685906,8.66,447.53,0.08,Milhões,HREC11
HEDGE BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO,08.431.747/0001-06,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,0.60,4.50,136724,129132999,21.76,2.81,0.15,Bilhões,HGBS11
HEDGE OFFICE INCOME FUNDO DE INVESTIMENTO IMOBILIÁRIO,31.894.369/0001-19,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,0.80,52.00,4852,3778990,57.36,216.78,0.21,Milhões,HOFC11
HEDGE LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,27.486.542/0001-72,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,0.7,0.00,3863,42499989,11.06,469.94,0.07,Milhões,HLOG11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FLORIPA SHOPPING,10.375.382/0001-91,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,9.0,1.50,1729,7409653,20.29,150.31,0.15,Milhões,FLRP11
HEDGE REALTY DEVELOPMENT FUNDO DE INVESTIMENTO IMOBILIÁRIO,16.929.519/0001-99,Investidor Qualificado,Desenvolvimento para venda,Híbrido,Fundo de desenvolvimento,Determinado,Ativa,0.75,0.00,888,1517414,7.02,10.65,34.00,Milhões,HRDF11
HEDGE DESENVOLVIMENTO LOGÍSTICO FII,44.514.162/0001-13,Investidor Qualificado,Desenvolvimento para venda,Logístico / Indústria / Galpões,Fundo de Tijolo,Determinado,Passiva,,0.00,103,839989,106.93,89.82,11.60,Milhões,HDEL11
HEDGE SEED FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.689.497/0001-81,Investidor Qualificado,Híbridos,Híbrido,Outro,Determinado,Ativa,,0.00,126,1639989,89.94,147.50,1.10,Milhões,SEED11
HGI CRÉDITOS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,38.456.508/0001-71,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,0.75,0.00,618,462695,111.07,51.39,0.80,Milhões,HGIC11
HSI ATIVOS FINANCEIROS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.360.687/0001-50,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,1.00,0.00,8622,2526349,88.21,222.86,0.95,Milhões,HSAF11
FUNDOS INVESTIMENTO IMOBILÍARIOS FII HOTEL MAXINVEST,08.706.065/0001-69,Geral,Renda,Hotéis,Fundo de Tijolo,Indeterminado,Ativa,0.50,40.00,36270,2888083,143.95,415.74,1.56,Milhões,HTMX11
HEDGE SHOPPING PARQUE DOM PEDRO FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.586.415/0001-73,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,0.50,3.30,350,3287989,92.41,303.85,0.56,Milhões,HPDP11
HEDGE TOP FOFII 3 FUNDO DE INVESTIMENTO IMOBILIÁRIO,18.307.582/0001-19,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,0.60,0.00,74685,229784989,7.55,1.74,0.06,Bilhão,HFOF11
